id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
192,M,1.4,1.1,0.3125,24.45144375,9.525432,5.159609,7.654365,8.0
193,I,1.075,0.8125,0.2375,9.752228,4.46504625,2.08368825,2.551455,6.0
194,F,1.0375,0.7625,0.275,11.509897,4.592619,2.87747425,2.9766975,9.0
195,M,1.525,1.2375,0.4375,36.6559035,14.78426425,8.8166945,10.6310625,14.0
196,I,1.0375,0.7875,0.25,8.00873375,4.932813,1.927766,2.097863,6.0
197,M,1.5,1.175,0.4,29.3417325,13.16834275,5.273007,7.087375,9.0
198,M,1.375,1.075,0.3875,19.43358225,8.15048125,3.515338,5.386405,12.0
199,M,1.625,1.3125,0.475,39.745999,17.90270925,8.68912175,10.3475675,12.0
200,M,1.575,1.1875,0.3875,35.50774875,18.8524175,7.3425205,8.8733935,11.0
201,M,1.4125,1.0875,0.3875,28.67551925,12.20445975,6.7755305,8.0796075,9.0
202,F,1.7,1.325,0.4125,45.2741515,23.6718325,10.035723,11.623295,15.0
203,I,1.525,1.225,0.4,32.034935,15.1669825,7.540967,8.6465975,10.0
204,M,1.5125,1.1875,0.4,29.41260625,14.288148,5.1312595,8.221355,10.0
205,I,1.425,1.1125,0.45,27.76833525,11.15552825,5.329706,9.4970825,13.0
206,F,1.5625,1.1875,0.4125,34.9549335,17.57669,7.3992195,9.2135875,10.0
207,M,1.4375,1.1375,0.3625,25.231055,9.76640275,5.6982495,7.654365,11.0
208,M,1.7375,1.375,0.475,47.58463575,21.24795025,11.850091,12.8990225,12.0
209,I,1.4375,1.1875,0.475,29.086587,13.96212875,6.67630725,7.654365,9.0
210,M,1.3,0.9625,0.3375,18.597272,6.4353365,4.479221,6.23689,17.0
211,I,1.4375,1.125,0.4125,22.12678475,10.77281,4.40834725,6.9456275,11.0
212,F,1.475,1.1625,0.4125,30.03629525,14.288148,5.1879585,7.93786,9.0
213,F,1.425,1.05,0.35,28.64716975,11.38232425,6.010094,8.788345,12.0
214,M,1.4,1.0875,0.3875,29.69610125,12.076887,6.47786075,8.0796075,11.0
215,F,1.65,1.3125,0.475,38.838815,17.8318355,9.96484925,11.3398,9.0
216,I,1.4125,1.0625,0.35,23.71435675,11.6516445,5.51397775,6.19436575,9.0
217,F,1.35,1.0375,0.3875,24.50814275,9.87980075,5.8683465,4.9611625,10.0
218,F,1.5125,1.2,0.3875,31.79396425,14.514944,6.8889285,8.3631025,10.0
219,M,1.2625,0.9875,0.3625,18.92329125,7.3992195,4.57844425,5.386405,8.0
220,F,1.6,1.2875,0.4125,32.998818,15.52135125,8.50485,9.128539,10.0
221,F,1.625,1.25,0.375,38.55532,20.36911575,7.2858215,9.07184,12.0
222,F,1.225,0.9625,0.3125,16.839603,6.6621325,2.9199985,5.5281525,10.0
223,F,1.5,1.1125,0.375,28.98736375,12.47378,5.726599,8.334753,11.0
224,I,0.775,0.5625,0.1875,5.7549485,2.31048425,1.190679,1.474174,6.0
225,M,1.675,1.2625,0.5125,49.25725625,19.731252,10.999606,13.324265,13.0
226,I,0.9875,0.75,0.275,8.391452,3.47281375,1.80019325,2.4097075,12.0
227,I,1.4375,1.125,0.3375,20.3265915,9.48290775,4.97533725,5.6699,9.0
228,I,0.9625,0.725,0.25,7.1157245,3.30271675,1.4458245,2.26796,8.0
229,F,1.6375,1.3,0.4125,44.69298675,17.90270925,10.70193625,12.3320325,12.0
230,F,1.7,1.375,0.45,50.6605565,23.530085,9.53960675,14.231449,12.0
231,I,0.8375,0.65,0.225,5.6699,2.1829115,0.80796075,1.5592225,6.0
232,M,1.4875,1.1625,0.3875,32.7436725,13.8062065,8.448151,8.448151,9.0
233,F,1.5625,1.2875,0.4875,38.20095125,14.21727425,7.24329725,11.623295,15.0
234,M,1.4125,1.175,0.3625,24.42309425,10.61688775,5.8116475,7.2291225,8.0
235,F,1.5375,1.1875,0.3375,28.10852925,14.35902175,6.520385,6.23689,10.0
236,I,1.2375,0.9875,0.3125,15.29455525,6.577084,3.8271825,4.819415,8.0
237,F,1.5125,1.2125,0.4,30.14969325,12.20445975,6.22271525,8.68912175,11.0
238,F,1.425,1.1625,0.375,25.0326085,9.39785925,4.97533725,7.654365,14.0
239,I,0.525,0.375,0.1125,1.31825175,0.680388,0.3685435,0.4819415,5.0
240,F,1.6,1.225,0.4125,32.07745925,13.777857,8.94426725,8.0796075,9.0
241,M,1.65,1.3,0.5375,49.45570275,20.62426125,8.901743,11.850091,11.0
242,M,1.5875,1.2625,0.3875,37.40716525,18.9091165,7.6260155,10.035723,12.0
243,I,1.325,1.0375,0.3375,19.77377625,9.68135425,4.01145425,5.0745605,8.0
244,M,1.4375,1.125,0.5,24.84833675,8.8166945,4.3941725,8.3631025,17.0
245,I,1.425,1.075,0.3875,22.1976585,9.76640275,4.592619,6.23689,11.0
246,F,1.4125,1.1,0.4125,26.12406425,10.6310625,5.14543425,7.881161,12.0
247,I,1.35,1.05,0.35,20.41164,8.3064035,4.01145425,7.7961125,9.0
248,F,1.5625,1.2375,0.425,34.529691,15.46465225,8.5898985,10.0640725,11.0
249,M,1.4375,1.0875,0.375,26.54930675,14.0897015,5.23048275,6.23689,9.0
250,F,1.6,1.3,0.375,35.0116325,13.99047825,8.0229085,8.9300925,10.0
251,F,1.7875,1.375,0.475,47.0318205,14.44407025,7.52679225,12.11941125,24.0
252,M,1.4875,1.125,0.3375,23.5584345,10.4609655,4.12485225,7.93786,11.0
253,M,1.375,1.125,0.375,26.1098895,11.169703,5.0745605,7.37087,10.0
254,F,1.4875,1.1625,0.375,31.638042,13.16834275,6.19436575,8.74582075,9.0
255,M,1.375,1.0875,0.3375,24.62154075,11.35397475,4.706017,6.59125875,12.0
256,M,1.45,1.1375,0.375,27.08794725,9.31281075,5.14543425,9.808927,13.0
257,M,0.775,0.6,0.2,5.10291,2.211261,1.09145575,1.5592225,7.0
258,F,1.5125,1.1875,0.35,27.99513125,12.82814875,4.49339575,9.2135875,10.0
259,M,1.575,1.2,0.4,30.26309125,14.33067225,6.10931725,8.9300925,10.0
260,F,1.25,1.0,0.3,17.78931125,7.8528115,3.8838815,5.2446575,8.0
261,M,1.5875,1.2625,0.4125,36.61337925,16.0741665,8.40562675,10.3475675,9.0
262,F,1.5125,1.2125,0.3625,29.029888,11.24057675,6.973977,8.9300925,10.0
263,I,1.0,0.75,0.25,8.60407325,3.96893,1.8427175,2.26796,7.0
264,F,1.725,1.375,0.4875,52.12055575,25.16018125,11.60912025,12.6155275,11.0
265,M,1.125,0.9375,0.2625,13.36678925,5.556502,2.87747425,4.819415,8.0
266,M,1.6625,1.3125,0.45,39.7743485,14.04717725,9.7805775,11.1980525,13.0
267,M,1.525,1.2125,0.3625,31.70891575,13.65028425,6.293589,9.355335,10.0
268,F,1.375,1.0375,0.3875,23.7285315,9.8939755,4.37999775,6.7755305,15.0
269,F,1.725,1.325,0.3875,43.81415225,18.44134975,9.3836845,11.3398,14.0
270,M,1.5375,1.1625,0.4375,28.066005,11.623295,5.17378375,7.89533575,10.0
271,I,1.45,1.15,0.375,28.576296,11.623295,5.99591925,8.3631025,10.0
272,I,1.25,1.0,0.35,21.92833825,9.8263845,4.52174525,7.2291225,9.0
273,F,1.45,1.125,0.3625,23.43086175,9.6671795,4.592619,6.23689,12.0
274,M,1.15,0.9375,0.35,14.16057525,5.8116475,3.07592075,4.365823,14.0
275,I,1.1,0.85,0.275,10.98543125,4.422522,2.08368825,3.40194,7.0
276,M,1.475,1.1625,0.4125,27.45649075,12.60135275,6.98815175,6.23689,12.0
277,I,0.85,0.65,0.225,5.06038575,2.14038725,1.0489315,1.65844575,6.0
278,I,1.475,1.1875,0.375,30.43318825,13.1825175,6.860579,7.55514175,9.0
279,F,1.6125,1.25,0.4125,32.545226,13.2392165,7.55514175,8.50485,10.0
280,M,1.4375,1.125,0.425,26.08154,10.8011595,4.4508715,7.29999625,11.0
281,F,1.25,0.9875,0.3125,18.653971,8.5898985,3.18931875,5.5281525,9.0
282,I,1.5125,1.175,0.375,30.51823675,12.79979925,5.216308,8.1363065,10.0
283,I,1.35,1.025,0.35,18.6256215,8.3064035,4.3941725,5.00368675,10.0
284,F,1.65,1.2625,0.3875,42.354153,16.782904,8.57572375,9.07184,10.0
285,M,1.3625,1.0,0.3,19.74542675,9.05766525,4.479221,4.9611625,9.0
286,M,1.475,1.1125,0.3875,25.911443,10.6877615,5.25883225,7.1157245,11.0
287,I,0.775,0.5875,0.1875,4.43669675,1.984465,1.03475675,1.26155275,6.0
288,I,0.675,0.5375,0.1625,3.41611475,1.13398,0.58116475,1.247378,5.0
289,I,1.0875,0.825,0.2875,10.19164525,4.74854125,2.79242575,3.2034935,7.0
290,I,1.3,1.0,0.3375,18.597272,9.19941275,3.52951275,5.8116475,8.0
291,F,1.625,1.3125,0.5,39.81687275,12.48795475,6.010094,17.7184375,17.0
292,M,1.4375,1.1375,0.3,23.79940525,12.96989625,4.86193925,6.6621325,9.0
293,M,1.5375,1.1875,0.4,33.849303,17.42076775,7.35669525,8.1930055,11.0
294,M,1.4125,1.1,0.3625,28.8314415,11.92096475,7.75358825,7.654365,13.0
295,I,1.0875,0.95,0.3,13.8062065,5.9817445,3.6003865,4.3941725,11.0
296,I,0.8875,0.675,0.2125,6.59125875,2.664853,1.190679,1.7293195,6.0
297,F,1.55,1.2,0.3875,32.07745925,16.839603,6.64795775,7.58349125,10.0
298,F,1.7,1.3125,0.4375,43.70075425,16.8112535,12.870673,13.60776,11.0
299,I,1.175,0.8875,0.3,14.92601175,6.577084,2.93417325,3.75630875,7.0
300,M,1.4375,1.0875,0.3875,23.756881,11.0279555,4.479221,5.5281525,11.0
301,I,0.925,0.6875,0.2375,6.59125875,2.6365035,1.587572,2.1262125,6.0
302,F,1.625,1.2875,0.4375,39.2073585,17.67591325,8.34892775,10.3475675,9.0
303,M,1.65,1.2625,0.425,40.66735775,14.911837,8.3631025,10.77281,15.0
304,I,1.0625,0.75,0.3,11.963489,5.6415505,2.381358,2.83495,8.0
305,M,1.6125,1.2875,0.45,34.189497,13.834556,8.0229085,9.922325,16.0
306,F,1.125,0.875,0.2875,10.2341695,4.06815325,2.551455,3.5436875,8.0
307,I,0.475,0.5125,0.1875,2.82077525,0.97805775,0.35436875,1.2757275,4.0
308,I,1.175,0.9125,0.2625,16.0741665,7.314171,3.6570855,4.9611625,8.0
309,F,1.575,1.2375,0.45,34.8415355,14.72756525,8.5898985,9.922325,10.0
310,M,1.575,1.2375,0.3875,36.4291075,16.37183625,8.50485,8.9300925,14.0
311,M,1.45,1.1125,0.35,27.612413,13.664459,5.28718175,7.087375,10.0
312,I,0.725,0.525,0.2125,3.4869885,1.37495075,0.89300925,1.13398,6.0
